DEBUG:root:Time[0.00000 ms]: Job[ 0], ARRIVE, mobilenet-2
DEBUG:root:Time[0.00000 ms]: Job[ 0], START, G0-G1
DEBUG:root:Time[1125.96698 ms]: Job[ 1], ARRIVE, gpt-4
DEBUG:root:Time[1125.96698 ms]: Job[ 1], START, G4-G5-G6-G7
DEBUG:root:Time[1341.50877 ms]: Job[ 0], END, 1341.5087719298272
DEBUG:root:Time[2509.76918 ms]: Job[ 2], ARRIVE, gpt-4
DEBUG:root:Time[2509.76918 ms]: Job[ 2], START, G0-G1-G2-G3
DEBUG:root:Time[2562.31026 ms]: Job[ 3], ARRIVE, gpt-4
DEBUG:root:Time[2562.31026 ms]: Job[ 3], START, G8-G9-G10-G11
DEBUG:root:Time[4796.86177 ms]: Job[ 4], ARRIVE, gpt-4
DEBUG:root:Time[4796.86177 ms]: Job[ 4], START, G12-G13-G14-G15
DEBUG:root:Time[5013.96609 ms]: Job[ 5], ARRIVE, gpt-4
DEBUG:root:Time[5029.93922 ms]: Job[ 6], ARRIVE, vgg16-4
DEBUG:root:Time[5246.85037 ms]: Job[ 7], ARRIVE, resnet50-4
DEBUG:root:Time[5422.30357 ms]: Job[ 8], ARRIVE, resnet50-2
DEBUG:root:Time[5492.30207 ms]: Job[ 9], ARRIVE, vgg16-2
DEBUG:root:Time[5813.01178 ms]: Job[10], ARRIVE, resnet50-2
DEBUG:root:Time[7004.07029 ms]: Job[11], ARRIVE, mobilenet-4
DEBUG:root:Time[7227.23617 ms]: Job[12], ARRIVE, gpt-2
DEBUG:root:Time[7591.18263 ms]: Job[13], ARRIVE, mobilenet-1
DEBUG:root:Time[9464.00944 ms]: Job[ 1], END, 8338.042456140338
DEBUG:root:Time[9503.46427 ms]: Job[ 5], START, G4-G5-G6-G7
DEBUG:root:Time[9850.22084 ms]: Job[ 4], END, 5053.359064327484
DEBUG:root:Time[9856.68185 ms]: Job[ 6], START, G12-G13-G14-G15
DEBUG:root:Time[10213.88645 ms]: Job[14], ARRIVE, gpt-2
DEBUG:root:Time[10326.39342 ms]: Job[15], ARRIVE, resnet50-2
DEBUG:root:Time[10536.25223 ms]: Job[16], ARRIVE, gpt-2
DEBUG:root:Time[11027.23852 ms]: Job[17], ARRIVE, mobilenet-2
DEBUG:root:Time[11896.35171 ms]: Job[18], ARRIVE, resnet50-4
DEBUG:root:Time[12674.80691 ms]: Job[19], ARRIVE, vgg16-1
DEBUG:root:Time[12795.05700 ms]: Job[20], ARRIVE, resnet50-1
DEBUG:root:Time[12961.31871 ms]: Job[21], ARRIVE, resnet50-2
DEBUG:root:Time[13380.02481 ms]: Job[22], ARRIVE, resnet50-1
DEBUG:root:Time[13449.53247 ms]: Job[23], ARRIVE, vgg16-1
DEBUG:root:Time[14354.19982 ms]: Job[24], ARRIVE, gpt-2
DEBUG:root:Time[14621.20123 ms]: Job[25], ARRIVE, gpt-4
DEBUG:root:Time[14765.51899 ms]: Job[26], ARRIVE, vgg16-2
DEBUG:root:Time[14918.09282 ms]: Job[27], ARRIVE, mobilenet-1
DEBUG:root:Time[15672.98660 ms]: Job[ 7], START, G0-G1-G2-G3
DEBUG:root:Time[15696.53315 ms]: Job[ 2], END, 13186.763976608221
DEBUG:root:Time[15709.75185 ms]: Job[ 9], START, G10-G11
DEBUG:root:Time[15709.75185 ms]: Job[ 8], START, G8-G9
DEBUG:root:Time[15749.07423 ms]: Job[ 3], END, 13186.763976608228
DEBUG:root:Time[16098.42722 ms]: Job[28], ARRIVE, gpt-2
DEBUG:root:Time[16303.84178 ms]: Job[29], ARRIVE, gpt-4
DEBUG:root:Time[19035.52021 ms]: Job[ 8], END, 13613.21664513103
DEBUG:root:Time[19038.70322 ms]: Job[10], START, G8-G9
DEBUG:root:Time[19543.35962 ms]: Job[ 7], END, 14296.509248374656
DEBUG:root:Time[19544.28195 ms]: Job[11], START, G0-G1-G2-G3
DEBUG:root:Time[19921.41620 ms]: Job[30], ARRIVE, gpt-2
DEBUG:root:Time[20486.52702 ms]: Job[31], ARRIVE, vgg16-2
DEBUG:root:Time[20568.19363 ms]: Job[32], ARRIVE, gpt-4
DEBUG:root:Time[21538.26862 ms]: Job[11], END, 14534.198323454866
DEBUG:root:Time[21539.21704 ms]: Job[13], START, G2
DEBUG:root:Time[21539.21704 ms]: Job[12], START, G0-G1
DEBUG:root:Time[21917.09448 ms]: Job[33], ARRIVE, gpt-2
DEBUG:root:Time[22215.32611 ms]: Job[34], ARRIVE, gpt-2
DEBUG:root:Time[22281.76358 ms]: Job[35], ARRIVE, gpt-4
DEBUG:root:Time[22481.91365 ms]: Job[10], END, 16668.901863206673
DEBUG:root:Time[22491.86704 ms]: Job[14], START, G8-G9
DEBUG:root:Time[22665.99044 ms]: Job[15], START, G4-G5
DEBUG:root:Time[22665.99044 ms]: Job[16], START, G6-G7
DEBUG:root:Time[22690.22824 ms]: Job[ 5], END, 17676.262148410948
DEBUG:root:Time[23013.66548 ms]: Job[36], ARRIVE, gpt-2
DEBUG:root:Time[23183.14863 ms]: Job[17], START, G2-G3
